timeindex,flag,currentBack,motorTempBack,positionBack,refPositionBack,refVelocityBack,trackingDeviationBack,velocityBack,currentFront,motorTempFront,positionFront,refPositionFront,refVelocityFront,trackingDeviationFront,velocityFront
67,1,521.5,44,472.9392676,477.0147052,578.1552286,6.987023217,581.2208252,831.5,44,854.3473402,859.4887534,573.5080227,9.986421095,575.7949546
68,1,-70,47,577.4997093,576.4999992,10,9.000249154,6,-24,48,973.4990349,972.4999992,7,5.000955091,7
69,0,-39,37,580.5000415,581.4999984,10,5.00E+00,10.04152571,126,33,972.4996162,969.4999984,9,7.000373731,8
70,1,719.5,43,384.9435395,387.7702928,583.0438087,6.00029068,585.4774421,1038.5,42,769.9305219,770.7266687,594.8064968,10.00043602,586.9723674
71,1,50.5,43,578.4995432,579.4999984,5,10.00045678,8,76,44,971.4995332,970.4999984,8,10.00049831,8
72,1,-7,46,8.999626269,8.00E+00,6,6.000415257,7,9,46,398.9993256,398,5,8.000705937,5
73,1,237,46,577.4997301,580.4999992,7,10.00026992,6,116,48,969.4996162,973.4999992,10,9.000373731,7
74,1,35,47,7.999501692,1.00E+01,6,8.000539834,10,7,46,396.9994917,401,7,7.000498308,10
75,1,197.5,47,578.5003114,577.4999992,5,7.988808823,9.010381426,600,47,971.5147316,970.4999992,7,6.984760066,10.02076285
76,1,-32,40,577.4995847,576.4999984,8,6.000373731,10,-2,43,971.4985781,969.4999984,7,10.00141187,6
77,1,-62,44,580.4995847,581.4999968,5,8.000373731,4.979237148,247.5,43,968.511015,968.4999968,7,4.988974925,6
78,0,-9.5,37,578.5004775,577.4999968,6,5.988435091,9.979237148,11,36,971.5001146,970.4999968,7,7.991424942,7.979237148
79,0,-31,38,8.00E+00,6.00E+00,8,7.00E+00,6.020762852,91,40,399.9996993,398,5,9.00029068,10
80,0,-28,39,576.4999169,579.4999984,6,6.00E+00,8,33,41,968.4997823,973.4999984,5,6.000207629,6
81,0,-26,41,580.4999169,579.4999968,6,5.00E+00,8.979237148,15,40,973.4996162,971.4999968,7,6.000373731,10
82,1,-35,40,9.00E+00,5.00E+00,8,6.000124577,4.979237148,-11.5,40,401.0004468,399,9,6.999543217,9.979237148
83,1,123,41,578.4995847,577.4999984,8,5.000415257,10,140.5,43,973.4995747,972.4999984,5,10.00041526,10
84,0,-10,38,581.4999169,579.4999984,10,9.00E+00,4.979237148,10,43,972.4997408,972.4999984,9,5.000249154,5.979237148
85,0,31,44,580.5,578.4999984,8,5.00E+00,8,43,42,969.49999,971.4999984,6,7,8
86,0,595,44,375.058287,378.8458568,590.4767587,5.99264995,590.1488517,564,42,767.9064993,771.7266687,591.8064968,7.993272836,593.7994984
87,0,-18,44,581.4999169,581.4999984,6,5.00E+00,5.979237148,129.5,44,971.4993256,969.4999984,7,5.000664411,10
88,0,-22,42,578.4999585,576.4999984,6,5.00E+00,8,61,45,969.4997408,970.4999984,6,5.00029068,7
89,0,6,43,576.4999169,579.4999984,6,6.00E+00,5,134,45,973.4991179,969.4999984,9,6.000913565,5
90,0,373,42,450.7430726,454.9413976,578.6162926,8.988580431,582.8509412,698.5,46,826.6640191,830.8587676,587.4770305,9.982704544,587.3251038
91,0,-24,41,1.00E+01,6.00E+00,7,7.00E+00,10,73,39,397.9996162,401,5,6.000415257,5
92,0,-8,42,581.4998754,578.4999992,8,8.00E+00,5,8.5,39,972.4997408,972.4999992,8,5.00029068,9
93,0,-6,43,577.4998754,581.4999968,10,7.000124577,7.020762852,6,45,970.4996578,970.4999968,10,8.000373731,9
94,0,21,45,581.4999585,577.4999976,8,5,7.020762852,260,46,971.4993879,968.4999976,5,5.00058136,6
95,0,32,43,579.5000415,581.4999976,7,9.00E+00,8.989618574,46,49,970.5000315,968.4999976,10,1.00E+01,10
96,0,-20,46,577.5,580.4999968,8,6,9,78,44,968.499201,969.4999968,6,5.000830514,10
97,1,21,38,579.4993356,581.4999968,10,6.000622886,6,30,43,970.4993671,973.4999968,10,9.000622886,10
98,1,216,41,4.999584743,9.00E+00,10,7.000498308,10.02076285,242,38,396.9995747,402,5,8.000498308,5.020762852
99,1,-33,39,580.4992525,578.4999976,5,10.00074746,7,994,40,968.5032497,969.4999976,8,7.996781758,5.989618574
100,1,25.5,40,576.4987958,579.4999976,7,6.001204245,5,5,42,968.4993256,972.4999976,8,8.000664411,7.979237148
101,1,182,43,577.4994186,578.4999976,10,7.000456783,6.062288557,256,38,863.3020299,866.6848262,10.3989438,10.00053983,7.041525705
102,1,170,41,576.4995017,578.4999984,7,9.000498308,5,212.5,43,968.4994917,969.4999984,10,5.000539834,7
103,1,132,42,581.4990449,578.4999992,7,8.000913565,8,43,42,971.4995332,970.4999992,5,5.000456783,8.979237148
104,1,47.5,41,578.4993356,577.4999968,8,7.000622886,8.020762852,76,42,972.4994501,969.4999968,8,5.000539834,7
105,1,6.5,43,576.4992525,580.4999984,5,10.00070594,5,-36,44,968.499201,970.4999984,5,7.000830514,7.989618574
106,1,37,43,576.4995847,577.4999968,7,8.000373731,5.020762852,37,44,969.499201,969.4999968,6,7.000830514,9
107,1,470,40,365.4341187,365.1948378,462.2286989,9.987999071,477.7078574,787,45,739.5177226,742.3613613,466.657246,5.99235927,480.500461
108,1,122,43,7.999584743,1.00E+01,6,9.000415257,5.979237148,175,46,399.9994501,398,5,10.00053983,8.979237148
109,1,699,42,144.3616762,155.0463507,587.4756233,8.000373731,590.7094487,888,43,535.66779,548.2849873,594.8073484,9.000788988,590.8028815
110,1,714.5,45,381.9419823,388.7702931,583.0458363,9.999771609,589.6746892,1016,45,768.9330965,770.72667,594.8073484,6.000456783,591.0969445
111,1,104,41,579.4992525,579.4999968,9,9.000747463,8,112,38,969.4993671,969.4999968,7,10.00066441,9
112,1,46,37,581.4997924,577.4999992,9,10.00020763,9,164.5,39,970.4994086,970.4999992,7,9.000622886,7
113,1,58,40,580.4997093,581.4999984,6,9.00029068,7,119,43,968.4994086,969.4999984,6,5.00058136,5
114,1,-27,41,579.4993356,576.4999976,10,6.000664411,6,-23,42,968.4992425,970.4999976,6,9.000747463,5
115,1,61,41,581.4998754,581.4999968,9,10.00012458,7,557,43,970.5023985,972.4999968,8,6.997591509,5
116,0,-31,37,577.5000415,577.4999992,5,7.00E+00,10.02076285,153,37,970.4993671,970.4999992,10,6.000664411,10
117,0,603.5,36,258.9836666,268.642428,588.0441737,8,585.0414222,861,37,651.6261812,660.3234797,596.1174417,7.000124577,593.3637107
118,0,-38,32,9.00E+00,1.00E+01,5,7.00E+00,6,38.5,37,399.9996578,397,8,10.00037373,9
119,1,2,41,10.02142726,7.00E+00,7,9.988559668,10.01038143,375.5,43,400.0187388,400,9,7.981624876,5.010381426
120,0,42,41,580.4997924,576.4999992,8,8.000207629,10,142,43,973.4994086,968.4999992,5,7.000622886,6
121,0,556,45,382.9344246,390.7702911,584.0465257,9.00E+00,586.6746892,500.5,43,769.912479,773.7266701,594.805929,7.000124577,592.9033127
122,1,35,42,576.4997093,577.4999984,8,9.000166103,6.062288557,194,43,971.4994917,969.4999984,8,8.000456783,9.041525705
123,1,219,42,8.000249154,7.00E+00,9,9.999792371,6,27.5,42,397.9995332,398,9,5.000498308,6
124,1,137,47,577.4993771,578.4999984,6,8.000622886,7,101,43,971.4995332,971.4999984,10,9.000456783,8
125,1,-15,47,576.4998339,579.4999968,5,9.000166103,8,195,44,972.4993256,970.4999968,7,6.000664411,10.01038143
126,0,-5,42,579.5,581.4999984,6,8,7.979237148,231,45,969.4994086,973.4999984,7,10.00058136,7
127,0,-18,43,579.4999377,581.4999984,10,6.00E+00,5.989618574,66,46,968.4993256,968.4999984,10,7.000705937,7
128,0,11,43,577.5,576.4999968,8,9.00E+00,9.010381426,131,46,968.4998239,971.4999968,5,7.000207629,10
129,0,10,41,8.999833897,7.00E+00,6,5.000124577,8.979237148,47,44,401.9995332,398,5,7.000498308,6
130,0,-18,42,578.4999585,580.4999992,9,9,9.979237148,54,46,972.4990764,968.4999992,6,7.000955091,8
131,0,5,40,578.5,577.4999984,5,1.00E+01,8,184,42,968.4994086,970.4999984,9,10.00058136,7
132,0,-21.5,47,581.4999169,577.4999984,10,7.00E+00,8.979237148,132,46,970.499284,973.4999984,7,5.000747463,6.979237148
133,0,-18,45,581.4997716,579.4999968,5,10.00018687,10,10,47,970.4994709,970.4999968,6,5.000560597,4.979237148
134,0,241,45,381.9351929,390.7702928,574.3206532,8.00E+00,576.8121022,757,49,764.9202443,770.7266687,577.2828066,8.000373731,578.1790673
135,0,7,47,9.00E+00,7.00E+00,7,8.00E+00,7,125,48,396.9990764,402,8,9.000913565,8
136,0,29,47,579.5,577.4999976,5,7.00E+00,10,60,49,973.49999,968.4999976,5,5.00E+00,6
137,0,4,42,1.00E+01,8.00E+00,7,8,7,236,47,401.9993671,401,10,6.000664411,5
138,0,-10,46,580.4996678,581.4999968,9,6.000332206,6,36,48,973.4990764,970.4999968,7,8.000913565,5
139,0,37,41,580.5,578.4999984,9,7,7,145,40,970.4993671,970.4999984,10,7.000664411,5
140,0,2,40,576.4999169,581.4999968,6,8.00E+00,9,132,42,969.4997408,972.4999968,10,9.00029068,5
141,0,-16,43,7.00058136,5.00E+00,7,8.999377114,4.958474295,134,44,397.0174515,399,10,7.983742687,7
142,0,527.5,43,382.9409649,388.7702911,586.0465257,7.997300829,590.7577406,865,43,768.9185625,770.7266701,592.805929,10.00031144,592.3219528
143,0,30.5,39,581.4996055,580.4999984,7,9.000352968,5,86,43,973.4995332,968.4999984,7,6.000456783,7
144,0,27.5,43,580.4995847,580.4999992,9,10.00037373,5,37,42,969.4994917,968.4999992,10,6.000498308,6
145,0,37,43,579.4997093,581.4999968,5,6.000249154,5,118,40,972.4993256,968.4999968,5,9.000664411,9
146,0,-24,43,6.002740697,6.00E+00,6,7.997633035,8,494.5,43,400.0126553,399,9,8.987563051,8
147,0,-30,43,578.5002492,581.4999976,7,4.998525837,9,-30,42,971.5028137,972.4999976,8,5.994850813,8.979237148
148,1,845.5,45,383.9475883,389.7702931,587.0458363,8.997778375,586.0829479,762,47,762.0779917,767.8696545,597.1174417,8.000415257,592.322185
149,1,-3,44,578.499128,578.4999984,6,9.000830514,7,17,48,972.499284,970.4999984,6,8.000705937,10
150,0,4,35,578.5000415,578.4999992,6,5.00E+00,6,187,32,972.4995332,971.4999992,5,9.000456783,7
151,0,-32,34,581.5,578.4999968,7,8,7.020762852,86,34,970.49999,968.4999968,7,5,8
152,0,-31,33,579.4999585,576.4999976,8,9.00E+00,5.020762852,63,32,969.4990764,971.4999976,5,9.000913565,5.979237148
153,0,-49,32,579.4998754,576.4999992,9,10.00012458,8,8,33,971.49999,971.4999992,9,5,4.979237148
154,0,492.5,35,458.1837522,458.3439553,579.2250427,7.982683781,587.7886527,699,35,833.0455453,837.2650075,583.4617534,6.978987994,577.3729313
155,0,-9,36,375.0594082,378.8458568,46.04798456,6.00E+00,18.82421221,214,38,769.922466,770.7266687,48.94209096,7.00029068,27.08106123
156,1,43,38,580.4994602,577.4999984,5,8.000498308,7,63,41,970.4993256,972.4999984,10,10.00066441,10
157,1,698,44,376.0621074,380.845853,591.4767587,1.00E+01,590.7543575,957,44,766.9323075,772.7266701,592.805929,7.000498308,589.8926991
158,0,-20,45,1.00E+01,1.00E+01,9,7.00E+00,7.020762852,211,46,397.9991595,400,9,8.000830514,8
159,0,211,41,509.5412756,515.9317927,529.0558215,9.985673632,541.8303114,578,44,888.2994231,892.9955794,533.1904273,8.979444776,544.695585
160,0,549,41,356.5848689,361.3687765,586.0441737,9.990324511,588.916845,759,43,748.4515809,750.2470762,596.1174417,7.997010149,591.7166792
161,0,-20,41,576.4998754,578.4999968,9,7.000124577,9.020762852,-6,43,972.4996578,972.4999968,8,10.00033221,9
162,0,10,43,8.00E+00,5.00E+00,9,7.00E+00,7.979237148,81,42,396.9996993,397,10,8.000332206,5.020762852
163,0,246,46,356.5899766,362.3687778,438.9842336,8.988518143,454.1280234,540,44,749.4527021,749.2470766,441.6746106,8.979610879,460.5678907
164,0,201,38,554.0152196,559.7580664,329.9882274,5.988268988,350.213331,451,39,943.0382708,944.041899,304.5903178,5.984054129,328.5506777
165,0,-16,40,581.4999377,576.4999984,8,5.00E+00,6,86,43,971.4998654,970.4999984,6,6.000166103,7
166,0,-14,41,581.4998339,578.4999976,8,6.00E+00,8.083051409,217,43,863.2944515,866.6848262,13.3989438,8.000498308,9.041525705
167,0,52,45,577.4999169,579.4999984,10,8.00E+00,5.020762852,171,47,973.4996162,973.4999984,6,7.000415257,7.020762852
168,0,30,45,581.5,580.4999976,9,1.00E+01,8,162,43,970.4993671,971.4999976,6,7.000622886,10
169,0,-17,45,576.4999169,581.4999984,5,5.00E+00,5,122,43,969.4995332,968.4999984,7,10.00045678,5
170,0,5,41,579.5000623,576.4999968,6,8.00E+00,6.010381426,204,41,970.4995747,970.4999968,7,8.000415257,9
171,0,34,40,578.4997508,579.4999992,8,5.000249154,5,150,37,968.4994086,971.4999992,9,9.00058136,10
172,0,-5,38,577.5,581.4999984,5,5,7,119,41,969.4997408,970.4999984,8,9.00029068,9
173,0,19.5,37,8.999688557,9.00E+00,9,7.000311443,5,89,42,401.9992425,401,6,9.000788988,6.979237148
174,0,46,42,579.4998339,576.4999984,9,5.000166103,10,209,38,969.4998239,970.4999984,5,9.000207629,6
175,0,547.5,44,384.940259,385.7702924,583.0447414,8.00E+00,590.9030805,590,46,761.0984224,764.8696549,596.1174417,10,595.031505
176,0,-6,43,577.5,577.4999968,10,9.00E+00,9.041525705,94,45,971.4997823,972.4999968,10,5.000249154,6
177,0,12,45,578.5,579.4999968,5,7.00E+00,10.02076285,91,43,969.4996578,968.4999968,5,10.00037373,7
178,1,126,47,578.4992941,576.4999992,9,9.000664411,5,115,46,969.4995332,972.4999992,9,9.000498308,6
179,1,71,44,581.4994602,580.4999976,5,6.000539834,6,47,44,970.499284,972.4999976,5,10.00074746,6
180,1,-72,44,7.00E+00,1.00E+01,6,9,5.979237148,-29,46,402.0070701,398,9,4.992961393,10
181,1,16.5,47,581.4994602,578.4999968,5,8.000539834,6,41,47,972.4994917,971.4999968,5,8.000539834,9
182,1,-10.5,43,576.4994602,581.4999968,10,6.000539834,9,-27,46,969.4992425,973.4999968,6,5.000788988,6.020762852
183,1,-52,40,7.99970932,6.00E+00,7,7.00029068,8,26,45,398.9991595,402,6,8.00087204,6
184,1,687,43,385.9471315,390.7702911,587.6556407,7.000311443,587.5187356,929,44,769.9283418,770.7266701,594.805929,10.00087204,591.7198301
185,1,741,45,384.936584,390.7702931,588.0458363,8.000249154,591.3391004,839.5,45,768.9369792,772.72667,592.8073484,8.99410335,586.9723674
186,1,88,47,580.4991695,578.4999992,7,8.000830514,5,81,47,971.4992425,973.4999992,7,9.000788988,8
187,1,267,46,383.9465709,385.7702911,237.2130891,5.00043602,179.9579424,397,45,758.1137038,763.8696577,214.1473851,7.000498308,156.8522709
188,1,90,46,579.4994186,578.4999968,5,6.00058136,10,128,44,969.4992425,969.4999968,10,8.000788988,8
189,1,46,46,579.4997093,579.4999968,7,6.00029068,10,103,45,973.4993671,971.4999968,8,8.000622886,9
190,1,-15.5,42,579.4988373,577.4999992,9,5.001121194,10,-5,46,970.4994917,969.4999992,7,8.000498308,8
191,1,50.5,42,578.4987542,577.4999968,6,10.00120425,5.989618574,32,41,970.499284,971.4999968,6,6.000705937,5
192,1,-53,37,580.4995432,581.4999984,5,8.000456783,9,-41,42,971.499284,973.4999984,8,7.000747463,5.979237148
193,1,10,36,580.5000415,580.4999976,5,9.00E+00,5,147.5,41,971.4994709,973.4999976,6,5.000519071,6
194,1,722.5,43,384.9394908,385.7702911,587.0465257,9.994477081,586.9653691,892,42,749.4511657,754.2470759,595.1174417,5.987127032,593.616248
195,1,-36.5,43,8.999543217,9.00E+00,10,8.000498308,5,-1,38,402.005762,399,10,6.994227927,7.979237148
196,0,-11,41,579.4995017,580.4999968,9,8.000456783,8,31,44,971.4993879,969.4999968,9,6.000643648,5
197,0,288,39,353.5779342,363.3687778,559.0815712,6.985985075,568.6870608,502.5,44,739.5480156,744.3613613,550.0890197,4.975852803,560.4683544
198,0,49,40,579.4997093,581.4999984,7,6.000249154,9,117,44,968.4995747,972.4999984,7,7.000415257,10
199,0,14,43,578.5000415,579.4999984,10,8.00E+00,6.020762852,113,41,969.4994917,971.4999984,9,5.000498308,10
200,0,-3.5,45,581.4995847,579.4999968,8,7.000415257,8,34,42,969.4994086,971.4999968,10,8.000622886,8
201,0,31,44,578.4997093,579.4999992,10,9.00029068,10,125,40,969.4992425,970.4999992,7,9.000788988,9
202,0,24,44,9.00E+00,5.00E+00,9,1.00E+01,9,120,46,400.9995332,397,7,6.000456783,8.020762852
203,0,-19,47,5.00E+00,6.00E+00,9,10,4.989618574,153.5,44,401.9994086,400,7,8.000622886,7
204,0,42,43,4.999750846,7.00E+00,7,7.000207629,9.010381426,187,45,399.9994501,399,10,6.00058136,8
205,1,54,38,579.4991487,578.4999968,5,10.00085128,9,59,39,968.499284,970.4999968,6,6.000747463,7
206,1,108,37,577.4996678,576.4999992,8,10.00033221,10,99,42,970.4995124,972.4999992,5,9.000519071,10
207,1,160,40,577.5000415,581.4999984,10,5.00E+00,10.02076285,174,43,972.4994086,968.4999984,5,8.000622886,9
208,1,63.5,36,577.4994602,581.4999976,10,6.000539834,10,75,38,968.4993671,973.4999976,10,6.000622886,9
209,1,50,40,578.5006229,576.4999992,10,5.990075357,9.010381426,678,38,972.5080044,973.4999992,9,8.991694859,10.04152571
210,1,208,41,577.4994809,581.4999992,8,5.000519071,8,120,41,971.4995747,970.4999992,6,9.000415257,9
211,0,-20,41,8.00E+00,8.00E+00,7,9,5.020762852,125,39,397.9990349,402,9,5.000955091,10
212,0,25,38,8.00E+00,1.00E+01,6,10,10,112,38,399.9996162,401,7,7.000373731,6.010381426
213,0,-11,40,1.00E+01,9.00E+00,9,9.00E+00,9,99.5,38,400.9996578,402,9,8.000332206,6
214,0,3,38,581.4994602,578.4999984,7,6.000539834,5,54,43,970.4991595,969.4999984,10,7.000830514,5
215,0,35,37,579.4999169,578.4999976,9,9,9.041525705,165,42,968.4996993,972.4999976,7,5.000249154,10.04152571
216,0,-21,36,576.4998754,580.4999992,9,6,9.062288557,191,39,968.4994086,969.4999992,6,8.000456783,10.01038143
217,0,-26,41,8.00E+00,6.00E+00,7,6,6.020762852,44,43,396.9996162,402,5,7.000415257,8
218,0,610,40,384.9290886,389.7702931,583.0458363,7.00E+00,586.7473591,591,44,758.0754586,764.8696545,598.1174417,5,594.1111734
219,0,15,38,581.4997924,578.4999976,8,10.00020763,7,31,45,973.4995747,968.4999976,8,8.000415257,6
220,0,-20,45,580.4996263,578.4999992,10,7.000373731,5,-1.5,44,971.4990764,973.4999992,6,7.000955091,9
221,0,-8,45,580.4998754,576.4999984,10,7.00E+00,10,61.5,47,972.4997823,971.4999984,9,10.00024915,7
222,0,-7,36,580.5000415,576.4999968,10,8.00E+00,10,179,37,969.4994917,971.4999968,10,7.000498308,7
223,0,-25,38,577.4999169,578.4999992,7,8.00E+00,7.979237148,21,39,973.4997823,972.4999992,6,7.000249154,7
224,0,24,35,577.4999169,579.4999992,5,5.00E+00,6,142,35,970.4996162,972.4999992,6,10.00041526,10
225,0,40,43,4.999833897,8.00E+00,5,8.000166103,10,185,47,398.9995332,398,6,5.000498308,5
226,0,79,46,579.4997508,578.4999968,10,8.000249154,5,195,45,969.4994917,971.4999968,5,8.000539834,7
227,0,56,44,577.4998754,581.4999976,6,8.000124577,8,184,43,968.4995747,968.4999976,10,10.00045678,6
